timestamp,cpu_percent,cpu_count,memoria_total_mb,memoria_usada_mb,memoria_percent,memoria_disponivel_mb,disco_total_gb,disco_usado_gb,disco_percent,rede_bytes_enviados,rede_bytes_recebidos,rede_pacotes_enviados,rede_pacotes_recebidos,processos_ativos,sistema_operacional,hostname
2026-05-10 19:18:09,1.0,2,7938.39,604.05,7.6,7334.33,28.02,3.34,11.9,18558152,449201093,91727,348804,118,Linux,LiderancasEmpaticas
2026-05-10 19:18:12,0.5,2,7938.39,604.05,7.6,7334.34,28.02,3.34,11.9,18569925,449210557,91782,348860,120,Linux,LiderancasEmpaticas
2026-05-10 19:18:15,1.5,2,7938.39,604.01,7.6,7334.38,28.02,3.34,11.9,18585703,449223931,91892,348977,120,Linux,LiderancasEmpaticas
2026-05-10 19:18:18,1.0,2,7938.39,604.01,7.6,7334.38,28.02,3.34,11.9,18600005,449236205,91975,349065,120,Linux,LiderancasEmpaticas
2026-05-10 19:21:18,0.5,2,7938.39,635.26,8.0,7303.12,28.02,3.61,12.9,19922634,512024456,106611,394622,121,Linux,LiderancasEmpaticas
2026-05-10 19:21:21,32.0,2,7938.39,687.02,8.7,7251.36,28.02,3.61,12.9,19926698,512028986,106655,394676,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:24,2.5,2,7938.39,741.33,9.3,7197.05,28.02,3.61,12.9,20303284,512071934,106867,394908,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:27,3.0,2,7938.39,739.22,9.3,7199.16,28.02,3.61,12.9,20578859,512098324,106957,395009,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:30,4.0,2,7938.39,739.35,9.3,7199.04,28.02,3.61,12.9,21130381,512149924,107133,395198,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:33,4.5,2,7938.39,733.45,9.2,7204.93,28.02,3.61,12.9,21587224,512190311,107271,395348,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:36,4.5,2,7938.39,733.46,9.2,7204.93,28.02,3.61,12.9,22131154,512241782,107450,395545,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:39,5.0,2,7938.39,733.45,9.2,7204.93,28.02,3.61,12.9,22584587,512285512,107625,395735,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:42,4.5,2,7938.39,733.45,9.2,7204.93,28.02,3.61,12.9,22958631,512322672,107760,395884,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:45,4.0,2,7938.39,733.7,9.2,7204.69,28.02,3.61,12.9,23503325,512370992,107924,396065,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:48,5.0,2,7938.39,733.7,9.2,7204.69,28.02,3.61,12.9,24060153,512423310,108108,396266,122,Linux,LiderancasEmpaticas
2026-05-10 19:21:51,5.0,2,7938.39,733.7,9.2,7204.68,28.02,3.61,12.9,24604585,512472191,108273,396453,121,Linux,LiderancasEmpaticas
2026-05-10 19:21:54,5.0,2,7938.39,731.98,9.2,7206.41,28.02,3.61,12.9,25138085,512523817,108453,396641,121,Linux,LiderancasEmpaticas
2026-05-10 19:21:57,4.0,2,7938.39,731.98,9.2,7206.41,28.02,3.61,12.9,25693992,512576825,108638,396836,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:00,4.0,2,7938.39,731.98,9.2,7206.41,28.02,3.61,12.9,26246222,512629700,108819,397044,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:03,4.5,2,7938.39,731.98,9.2,7206.41,28.02,3.61,12.9,26795530,512677658,108988,397222,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:06,5.0,2,7938.39,731.97,9.2,7206.41,28.02,3.61,12.9,27344827,512731774,109179,397430,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:09,5.0,2,7938.39,731.97,9.2,7206.41,28.02,3.61,12.9,27894223,512780554,109346,397618,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:12,5.0,2,7938.39,731.98,9.2,7206.41,28.02,3.61,12.9,28441769,512832570,109527,397812,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:15,0.5,2,7938.39,734.71,9.3,7203.67,28.02,3.61,12.9,28701226,512856529,109608,397902,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:18,4.5,2,7938.39,734.71,9.3,7203.67,28.02,3.61,12.9,28885856,512878401,109685,397980,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:21,4.0,2,7938.39,734.71,9.3,7203.67,28.02,3.61,12.9,29432316,512927146,109848,398165,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:24,4.5,2,7938.39,734.71,9.3,7203.68,28.02,3.61,12.9,29983246,512980091,110033,398368,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:27,4.0,2,7938.39,734.71,9.3,7203.68,28.02,3.61,12.9,30536112,513028344,110193,398553,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:30,5.0,2,7938.39,734.71,9.3,7203.68,28.02,3.61,12.9,31087912,513080264,110373,398748,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:33,4.5,2,7938.39,734.7,9.3,7203.68,28.02,3.61,12.9,31633566,513127790,110535,398922,121,Linux,LiderancasEmpaticas
2026-05-10 19:22:36,5.0,2,7938.39,734.71,9.3,7203.68,28.02,3.61,12.9,32187812,513179670,110724,399114,122,Linux,LiderancasEmpaticas
2026-05-10 19:22:39,4.5,2,7938.39,734.7,9.3,7203.68,28.02,3.61,12.9,32741536,513227558,110887,399291,122,Linux,LiderancasEmpaticas
2026-05-10 19:22:42,5.5,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,33300522,513279050,111066,399482,122,Linux,LiderancasEmpaticas
2026-05-10 19:22:45,4.5,2,7938.39,734.7,9.3,7203.68,28.02,3.61,12.9,33849928,513327467,111232,399662,122,Linux,LiderancasEmpaticas
2026-05-10 19:22:48,5.0,2,7938.39,734.71,9.3,7203.68,28.02,3.61,12.9,34401446,513379320,111419,399856,122,Linux,LiderancasEmpaticas
2026-05-10 19:22:51,4.0,2,7938.39,734.71,9.3,7203.68,28.02,3.61,12.9,34937718,513427209,111580,400028,122,Linux,LiderancasEmpaticas
2026-05-10 19:22:54,4.5,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,35484560,513479394,111763,400217,122,Linux,LiderancasEmpaticas
2026-05-10 19:22:57,4.5,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36032671,513533390,111952,400422,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:00,3.0,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36493496,513576084,112104,400587,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:03,0.0,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36493674,513576144,112105,400588,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:06,0.0,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36499136,513580036,112125,400604,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:09,0.0,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36499314,513580096,112126,400605,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:12,0.0,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36504776,513583988,112146,400621,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:15,0.5,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36505028,513584188,112148,400624,123,Linux,LiderancasEmpaticas
2026-05-10 19:23:18,0.5,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36512965,513590402,112178,400649,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:21,0.0,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36513143,513590462,112179,400650,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:24,0.0,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,36518605,513594354,112199,400666,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:27,0.0,2,7938.39,734.69,9.3,7203.7,28.02,3.61,12.9,36518783,513594414,112200,400667,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:30,3.5,2,7938.39,734.69,9.3,7203.7,28.02,3.61,12.9,36885165,513632860,112338,400808,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:33,4.0,2,7938.39,734.69,9.3,7203.7,28.02,3.61,12.9,37438597,513680901,112502,400993,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:36,4.5,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,37892810,513725547,112660,401160,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:39,4.5,2,7938.39,734.69,9.3,7203.7,28.02,3.61,12.9,38264076,513757910,112769,401282,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:42,4.5,2,7938.39,734.69,9.3,7203.7,28.02,3.61,12.9,38819292,513810206,112957,401475,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:45,3.5,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,39363958,513857260,113119,401653,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:48,4.5,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,39905160,513909942,113293,401844,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:51,4.0,2,7938.39,734.69,9.3,7203.7,28.02,3.61,12.9,40460598,513958148,113462,402027,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:54,2.0,2,7938.39,734.7,9.3,7203.69,28.02,3.61,12.9,40824150,513991678,113576,402153,122,Linux,LiderancasEmpaticas
2026-05-10 19:23:57,4.5,2,7938.39,734.68,9.3,7203.7,28.02,3.61,12.9,41363281,514049372,113783,402371,122,Linux,LiderancasEmpaticas
2026-05-10 19:24:00,4.5,2,7938.39,734.68,9.3,7203.71,28.02,3.61,12.9,41914125,514097194,113944,402547,122,Linux,LiderancasEmpaticas
2026-05-10 19:24:03,4.5,2,7938.39,734.68,9.3,7203.71,28.02,3.61,12.9,42469587,514149641,114125,402745,122,Linux,LiderancasEmpaticas
2026-05-10 19:24:06,4.5,2,7938.39,734.68,9.3,7203.71,28.02,3.61,12.9,43007005,514197499,114285,402924,122,Linux,LiderancasEmpaticas
2026-05-10 19:24:09,4.5,2,7938.39,734.68,9.3,7203.71,28.02,3.61,12.9,43557957,514250079,114471,403124,122,Linux,LiderancasEmpaticas
2026-05-10 19:24:12,4.5,2,7938.39,734.68,9.3,7203.71,28.02,3.61,12.9,44111017,514298099,114634,403303,122,Linux,LiderancasEmpaticas
2026-05-10 19:24:15,4.5,2,7938.39,734.68,9.3,7203.71,28.02,3.61,12.9,44672931,514351063,114817,403511,122,Linux,LiderancasEmpaticas
2026-05-10 19:24:18,4.0,2,7938.39,734.68,9.3,7203.71,28.02,3.61,12.9,45220223,514399050,114978,403687,122,Linux,LiderancasEmpaticas
